hours,age,internet,marks
7,17,0,54
8,21,0,56
7,17,0,61
7,19,1,53
8,16,1,78
8,20,0,64
8,21,1,75
6,15,0,41
8,16,1,78
6,16,0,40
6,21,1,56
9,21,1,84
7,19,0,61
9,20,1,70
7,19,1,64
9,17,0,81
7,19,1,58
9,21,1,83
9,17,0,77
7,16,0,51
8,19,1,64
8,18,0,54
6,18,0,42
6,18,1,58
6,20,1,46
8,18,1,70
7,15,1,64
9,21,0,67
8,20,1,61
8,17,1,72
9,20,0,64
9,15,1,67
9,19,0,62
7,15,0,48
9,17,1,84
8,21,0,63
8,17,1,66
8,15,0,67
8,15,1,60
7,17,1,51
9,20,1,75
7,15,0,56
9,18,1,82
8,15,1,65
7,16,0,63
7,18,1,63
8,18,1,65
8,16,0,73
6,17,1,43
